Certification_Type,Emotion_Eng,count,mean,median,var,min,max
Enterprise,Disgust,2,2.5,2.5,0.5,2,3
Enterprise,Happy,1,6.0,6.0,,6,6
Enterprise,Like,4,8.0,8.0,3.3333333333333335,6,10
Famous Content Creator,Angry,216,6.1342592592592595,6.0,6.833053402239448,1,10
Famous Content Creator,Disgust,4591,6.541712045306033,7.0,6.457464519242667,1,10
Famous Content Creator,Fear,3,5.333333333333333,7.0,14.333333333333336,1,8
Famous Content Creator,Happy,679,6.562592047128129,7.0,6.334940764007456,1,10
Famous Content Creator,Like,2220,6.586036036036036,7.0,6.306699917583205,1,10
Famous Content Creator,Sad,583,7.073756432246999,7.0,4.188708717205115,1,10
Famous Content Creator,Surprise,220,6.577272727272727,7.0,6.573910336239104,1,10
Government,Angry,590,7.18135593220339,7.0,4.06043279330091,1,10
Government,Disgust,7320,7.060382513661202,7.0,4.677047537773163,1,10
Government,Fear,4,6.75,7.0,8.916666666666666,3,10
Government,Happy,1177,7.037383177570093,7.0,4.396560493356215,1,10
Government,Like,2857,7.143857192859643,7.0,4.274465929178802,1,10
Government,Sad,531,7.126177024482109,7.0,4.808577621433395,1,10
Government,Surprise,249,7.2971887550200805,8.0,4.814548516647235,1,10
High-Energy Streamer,Angry,3,7.333333333333333,7.0,2.333333333333334,6,9
High-Energy Streamer,Disgust,108,7.037037037037037,7.0,5.34440983039114,1,10
High-Energy Streamer,Happy,7,7.714285714285714,8.0,5.238095238095238,3,10
High-Energy Streamer,Like,44,6.886363636363637,7.0,7.917019027484143,1,10
High-Energy Streamer,Sad,7,6.428571428571429,7.0,7.9523809523809526,1,9
High-Energy Streamer,Surprise,11,6.090909090909091,6.0,10.09090909090909,1,10
Influencer,Angry,78,6.17948717948718,6.0,5.629703629703628,1,10
Influencer,Disgust,2695,6.133951762523191,6.0,7.239288572282549,1,10
Influencer,Happy,372,6.276881720430108,7.0,7.138763295945286,1,10
Influencer,Like,1074,6.342644320297952,7.0,7.077266440009651,1,10
Influencer,Sad,128,6.796875,7.0,4.556840551181105,1,10
Influencer,Surprise,83,5.891566265060241,7.0,9.000293858360273,1,10
Media,Angry,324,7.197530864197531,8.0,4.13423537056148,1,10
Media,Disgust,3420,6.980116959064327,7.0,5.2683965935116746,1,10
Media,Fear,2,9.0,9.0,2.0,8,10
Media,Happy,618,6.660194174757281,7.0,4.736857012478165,1,10
Media,Like,2885,6.662738301559792,7.0,5.478794856940941,1,10
Media,Sad,299,6.60200668896321,7.0,5.757177167740346,1,10
Media,Surprise,131,7.458015267175573,8.0,6.034762184380507,1,10
Organization,Angry,15,7.733333333333333,8.0,2.4952380952380944,6,10
Organization,Disgust,183,7.306010928961749,7.0,3.8838647691106676,1,10
Organization,Happy,16,6.75,7.0,7.133333333333332,1,10
Organization,Like,41,6.658536585365853,7.0,4.630487804878049,1,10
Organization,Sad,5,6.8,8.0,4.7,4,9
Organization,Surprise,20,7.3,7.5,2.0105263157894737,5,9
Public Figure,Angry,1,1.0,1.0,,1,1
Public Figure,Disgust,47,5.297872340425532,5.0,6.952821461609621,1,10
Public Figure,Happy,6,5.5,5.5,8.3,1,9
Public Figure,Like,14,7.571428571428571,8.5,8.417582417582418,2,10
Public Figure,Surprise,5,5.2,6.0,10.2,1,9
